Title,ExperienceLevel,ExperienceLevel_Category,YearsOfExperience,YearsOfExperience_Min,All_Skills
.NET Developer,Fresher,Entry-Level,0-1,0,.NET Core; .NET Core basics; .NET Core fundamentals; .NET Framework; .NET Framework basics; ASP.NET; ASP.NET MVC; ASP.NET basics; C#; CSS; Entity Framework basics; Git; HTML; JavaScript basics; LINQ; MVC; NUnit basics; Razor; SQL Server; Unit Testing basics; VB.NET; VB.NET basics; Visual Studio
.NET Developer,Experienced,Mid-Level,3+,3,.NET Core; ASP.NET Core; ASP.NET MVC; Azure; Azure DevOps; C#; Design Patterns; Docker; Entity Framework; Moq; NoSQL; REST APIs; SOLID Principles; SQL Server; SignalR; Testing with NUnit; Testing with xUnit; WebAPI; gRPC
.NET Developer,Experienced,Senior-Level,5+,5,.NET Core; ASP.NET Core; ASP.NET MVC; Angular; Azure; Azure DevOps; Blazor; C#; CI/CD; Dapper; Docker; Entity Framework; F#; Kubernetes; Microservices; REST APIs; SOLID Principles; SQL Server
AI Engineer,Entry-Level,Entry-Level,0–1 year,0,C++; Classification; Clustering; Java; Keras; MongoDB; NLTK; Neural Networks; NoSQL; NumPy; OpenCV; Pandas; PyTorch; Python; R; Regression; SQL; Scikit-learn; Supervised/Unsupervised Learning; TensorFlow
AI Engineer,Mid-Senior Level,Mid-Level,3–6 years,3,AWS; Apache Spark; Azure; C++; CI/CD; Computer Vision; Deep Learning; Docker; GCP; Generative AI; Hadoop; Hugging Face Transformers; Java; Kubernetes; LIME; LLMs; MLOps; Model Monitoring; NLP; ONNX; PyTorch; Python; R; Reinforcement Learning; SHAP; Scikit-learn; Spark; TensorFlow
AI Engineer,Senior-Level,Senior-Level,5+ years,5,AWS; Azure; C++; CI/CD; Computer Vision; Deep Learning; Docker; GCP; Generative AI; Hadoop; Hugging Face; Hugging Face Transformers; Java; Keras; Kubernetes; LIME; LLMs; NLP; ONNX; PyTorch; Python; R; Reinforcement Learning; SHAP; Scikit-learn; Spark; TensorFlow
AI Prompt Engineer,Fresher,Entry-Level,0-1,0,Collaboration; Communication; Creativity; Critical thinking; GPT model exposure; GPT models intro; Hugging Face Transformers basics; Hugging Face basics; Intro NLP; Intro to NLP; Introductory NLP; JavaScript basics; NLP basics; NLP introduction; NLTK basics; OpenAI GPT basics; OpenAI GPT intro; OpenAI GPT model basics; OpenAI GPT models exposure; OpenAI GPT models intro; Problem-solving; Prompt writing; Prompt writing fundamentals; PyTorch basics; Python basics; SpaCy basics; Teamwork; TensorFlow basics
AI Prompt Engineer,Experienced,Mid-Level,3+,3,"API integration (OpenAI/Azure); Advanced NLP; Advanced Python; Advanced prompt design (chain-of-thought, iterative optimization); Azure Cognitive Services; Chain-of-thought prompting; Chain-of-thought prompts; Collaboration; Communication; Creativity; Critical thinking; Data analysis; Data analytics; Data visualization; Deep NLP expertise; Hugging Face; Hugging Face Transformers; Iterative prompt design; Iterative prompt optimization; JavaScript; JavaScript advanced; LLM tuning; Leadership; Machine learning analysis; Machine learning for prompt tuning; NLP frameworks; NLP techniques; OpenAI API; Problem-solving; Prompt chain-of-thought; Prompt design optimization; Prompt iterative optimization; Prompt optimization techniques; PyTorch; Python; Python advanced; TensorFlow"
AI/ML Engineer,Senior,Senior-Level,6+,6,"Advanced ML/DL: deep learning, reinforcement learning, NLP, computer vision, transfer learning; Big data: Hadoop, Spark; Feature engineering, ETL pipelines; Frameworks: TensorFlow, PyTorch, Keras, Scikit-learn (advanced), ONNX; Java; MLOps: CI/CD pipelines, monitoring, cloud deployment (AWS/GCP/Azure); Python; R; SQL; Scala"
AR/VR Developer,Fresher,Entry-Level,0-1,0,3D modeling basics; 3D modeling fundamentals; ARCore basics; ARKit basics; Blender basics; Blender/Maya basics; C# basics; C++ basics; Communication; Creativity; JavaScript basics; Maya basics; Motion tracking basics; Problem-solving; Spatial computing basics; Teamwork; UI/UX fundamentals; Unity basics; Unreal Engine basics
