Title,ExperienceLevel,YearsOfExperience,Skills,YearsOfExperience_Min,ExperienceLevel_Normalized
.NET Developer,Fresher,0-1,C#; VB.NET basics; .NET Framework; .NET Core fundamentals; ASP.NET; MVC; HTML; CSS; JavaScript basics; SQL Server; Entity Framework basics; LINQ; Visual Studio; Git; Unit Testing basics,0,Entry-Level
.NET Developer,Fresher,0-1,C#; .NET Framework basics; ASP.NET; Razor; HTML; CSS; JavaScript basics; SQL Server; Entity Framework basics; NUnit basics,0,Entry-Level
.NET Developer,Fresher,0-1,C#; VB.NET basics; .NET Core; ASP.NET MVC; HTML; CSS; JavaScript basics; SQL Server; Git,0,Entry-Level
.NET Developer,Fresher,0-1,C#; .NET Framework; ASP.NET basics; SQL Server; HTML; CSS; LINQ; Visual Studio,0,Entry-Level
.NET Developer,Fresher,0-1,C#; ASP.NET; MVC; Entity Framework basics; SQL Server; HTML; CSS; JavaScript basics,0,Entry-Level
.NET Developer,Fresher,0-1,C#; .NET Framework; ASP.NET; Razor; SQL Server; Git; NUnit basics,0,Entry-Level
.NET Developer,Fresher,0-1,C#; VB.NET; .NET Core basics; ASP.NET MVC; HTML; CSS; SQL Server; Visual Studio,0,Entry-Level
.NET Developer,Fresher,0-1,C#; .NET Framework basics; ASP.NET MVC; Entity Framework basics; SQL Server; LINQ,0,Entry-Level
.NET Developer,Fresher,0-1,C#; .NET Framework; ASP.NET; HTML; CSS; SQL Server,0,Entry-Level
.NET Developer,Fresher,0-1,C#; ASP.NET MVC; .NET Core basics; Entity Framework basics; SQL Server; Git,0,Entry-Level
.NET Developer,Experienced,3+,C#; .NET Core; ASP.NET MVC; SQL Server; Entity Framework; REST APIs; Docker; Azure,3,Mid-Level
.NET Developer,Experienced,4+,C#; ASP.NET Core; SQL Server; Entity Framework; Design Patterns; SOLID Principles; Azure DevOps,4,Mid-Level
.NET Developer,Experienced,5+,C#; F#; .NET Core; ASP.NET MVC; Microservices; Docker; Kubernetes; Azure,5,Senior-Level
.NET Developer,Experienced,3+,C#; ASP.NET Core; WebAPI; SignalR; SQL Server; NoSQL; Entity Framework,3,Mid-Level
.NET Developer,Experienced,5+,C#; .NET Core; ASP.NET MVC; Blazor; Angular; SQL Server; Dapper,5,Senior-Level
.NET Developer,Experienced,4+,C#; .NET Core; ASP.NET MVC; REST APIs; Docker; Azure DevOps; Testing with NUnit,4,Mid-Level
.NET Developer,Experienced,3+,C#; ASP.NET Core; WebAPI; gRPC; SQL Server; Azure,3,Mid-Level
