Title,ExperienceLevel,ExperienceLevel_Category,YearsOfExperience,YearsOfExperience_Min,All_Skills,,,
.NET Developer,Fresher,Entry-Level,0-1,0,C#; .NET Core; ASP.NET MVC; Entity Framework; SQL Server; HTML; CSS; JavaScript; Git; LINQ; Razor; Unit Testing; NUnit; Visual Studio,,,
.NET Developer,Experienced,Mid-Level,3+,3,C#; .NET Core; ASP.NET Core; ASP.NET MVC; ASP.NET Web API; Entity Framework; SQL Server; NoSQL; REST APIs; Azure; Azure DevOps; Docker; SignalR; gRPC; Design Patterns; SOLID Principles; Dependency Injection; NUnit; xUnit; Moq,,,
.NET Developer,Experienced,Senior-Level,5+,5,C#; .NET Core; ASP.NET Core; ASP.NET Web API; Microservices; Distributed Systems; System Design; REST APIs; Entity Framework; Dapper; SQL Server; NoSQL; Azure; Azure DevOps; CI/CD; Docker; Kubernetes; Caching (Redis); Message Brokers; Performance Optimization; SOLID Principles,,,
AI Engineer,Entry-Level,Entry-Level,0–1 year,0,Python; NumPy; Pandas; Scikit-learn; Supervised Learning; Unsupervised Learning; Neural Networks; TensorFlow; PyTorch; SQL; NoSQL; NLTK; OpenCV; Git,,,
AI Engineer,Mid-Senior Level,Mid-Level,3–6 years,3,Python; C++; Scikit-learn; TensorFlow; PyTorch; Deep Learning; Computer Vision; NLP; Large Language Models (LLMs); Hugging Face Transformers; Feature Engineering; Model Deployment; MLOps; Model Monitoring; Docker; CI/CD; AWS; Apache Spark; ONNX; SHAP; LIME,,,
AI Engineer,Senior-Level,Senior-Level,5+ years,5,Python; C++; Scikit-learn; TensorFlow; PyTorch; Deep Learning; Computer Vision; NLP; Reinforcement Learning; Large Language Models (LLMs); Generative AI; Hugging Face Transformers; Distributed Training; Scalable ML Systems; System Design; Feature Engineering; Model Deployment; MLOps; Model Monitoring; Model Optimization; A/B Testing; ONNX; Docker; Kubernetes; CI/CD; AWS; Azure; GCP; Apache Spark; Hadoop; Data Pipelines; SHAP; LIME,,,
AI Prompt Engineer,Fresher,Entry-Level,0-1,0,Prompt Writing; Prompt Design Fundamentals; Large Language Models (LLMs); GPT Models; OpenAI API Basics; Hugging Face Transformers (Usage); Basic NLP Concepts; Few-Shot Prompting; Zero-Shot Prompting; Python; API Integration (Basic); Evaluation of LLM Outputs; Communication; Critical Thinking; Problem-Solving,,,
AI Prompt Engineer,Experienced,Mid-Level,3+,3,Advanced Prompt Engineering; NLP; Chain-of-Thought Prompting; Few-Shot and Multi-Shot Prompting; Prompt Optimization; Iterative Prompt Refinement; LLM Evaluation Frameworks; LLM Guardrails; OpenAI API; Azure OpenAI; Hugging Face Transformers; LLM Application Development; API Integration; Python; JavaScript; Data Analysis; Experimentation and A/B Testing; RAG (Retrieval-Augmented Generation); Embedding Models; Communication; Collaboration,,,dat
AI Prompt Engineer,Experienced,Senior-Level,5+,5,Prompt Architecture Design; Advanced Prompt Engineering; Chain-of-Thought and Structured Reasoning; RAG System Design; LLM System Architecture; Multi-Model Orchestration; Fine-Tuning Strategies; Parameter-Efficient Tuning (LoRA/PEFT); LLM Evaluation and Benchmarking; Hallucination Mitigation; LLM Safety and Guardrails; Model Monitoring; A/B Testing; LLM Cost Optimization; Embedding Pipelines; Vector Databases; OpenAI API; Azure OpenAI; Hugging Face Ecosystem; Python; API Design; System Design; Leadership; Stakeholder Communication,,,
AI/ML Engineer,Senior,Senior-Level,6+,6,Python; SQL; Scala; Scikit-learn (Advanced); TensorFlow; PyTorch; Keras; Deep Learning; Reinforcement Learning; Natural Language Processing (NLP); Computer Vision; Transfer Learning; Distributed Training; Advanced Feature Engineering; Big Data Processing; Apache Spark; Hadoop; ETL Architecture; Scalable Data Pipelines; Model Deployment at Scale; MLOps; CI/CD Pipelines; Model Monitoring; Cloud Deployment (AWS/Azure/GCP); Docker; Kubernetes; ONNX; System Design for ML; Experiment Management; Model Optimization; A/B Testing,,,
